attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,prediction,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,train_majority_count,train_majority_share,accuracy,weighted_f1,macro_f1
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber,909,225,460,116,558,0.6138613861386139,0.5911111111111111,0.439205462445686,0.1857541899441341
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber,897,237,461,115,542,0.6042363433667781,0.6286919831223629,0.4853632408561247,0.1544041450777202
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber,931,203,461,115,570,0.6122448979591837,0.5960591133004927,0.44520464635407164,0.14938271604938272
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber,918,216,461,115,576,0.6274509803921569,0.5324074074074074,0.3699507664764462,0.17371601208459214
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,Timber,881,253,461,115,518,0.5879682179341658,0.6837944664031621,0.555382360036371,0.1624413145539906
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,Beam,933,233,491,123,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,Beam,933,233,490,124,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,Beam,933,233,491,123,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,Beam,932,234,493,121,788,0.8454935622317596,0.8418803418803419,0.7696075515101036,0.182830626450116
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,Beam,933,233,491,123,788,0.8445873526259379,0.8454935622317596,0.7747080546960775,0.1832558139534884
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber,2357,578,1484,372,2204,0.9350869749681799,0.9083044982698962,0.864659767165359,0.19038984587488667
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber,2326,609,1485,371,2156,0.9269131556319863,0.9408866995073891,0.9122302518066565,0.24238578680203046
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber,2338,597,1485,371,2165,0.9260051325919589,0.9447236180904522,0.9178710087907237,0.1943152454780362
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber,2376,559,1485,371,2212,0.930976430976431,0.924865831842576,0.8887651209342228,0.19219330855018588
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,Timber,2343,592,1485,371,2179,0.9300042680324371,0.9290540540540541,0.8948856912954987,0.24080560420315236
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,No,2069,518,1376,345,1857,0.8975350410826486,0.8957528957528957,0.8464956082064025,0.4725050916496945
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,No,2069,518,1377,344,1856,0.8970517158047366,0.8976833976833977,0.8492833772589622,0.47304170905391657
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,No,2070,517,1377,344,1857,0.8971014492753623,0.8974854932301741,0.8489974900281362,0.47298674821610603
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,No,2070,517,1377,344,1857,0.8971014492753623,0.8974854932301741,0.8489974900281362,0.47298674821610603
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,No,2070,517,1377,344,1857,0.8971014492753623,0.8974854932301741,0.8489974900281362,0.47298674821610603
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,No railings,2881,720,1984,496,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,No railings,2881,720,1984,496,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,No railings,2881,720,1985,495,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,No railings,2880,721,1983,497,2484,0.8625,0.8613037447988904,0.797123137883921,0.30849478390462
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,No railings,2881,720,1984,496,2484,0.8622006247830615,0.8625,0.7988255033557047,0.3087248322147651
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber/Wood,1126,290,643,161,686,0.6092362344582594,0.603448275862069,0.45420837968112715,0.09408602150537634
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber/Wood,1119,297,643,161,675,0.6032171581769437,0.6262626262626263,0.4823389171215258,0.11002661934338953
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber/Wood,1131,285,643,161,668,0.5906277630415562,0.6771929824561403,0.5468545841591427,0.11536162582187688
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber/Wood,1130,286,643,161,693,0.6132743362831858,0.5874125874125874,0.43473706909830256,0.09251101321585903
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,Timber/Wood,1158,258,644,160,722,0.6234887737478411,0.5387596899224806,0.3772674906761955,0.07002518891687658
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber,2194,545,1406,352,1867,0.8509571558796718,0.8073394495412844,0.7212778838541424,0.2233502538071066
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber,2192,547,1406,352,1817,0.8289233576642335,0.8957952468007313,0.8465567423960624,0.23625843780135006
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber,2180,559,1406,352,1858,0.8522935779816514,0.8032200357781754,0.7155670556833348,0.22271825396825398
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber,2205,534,1407,351,1847,0.8376417233560091,0.8614232209737828,0.7972931220280485,0.3085177733065057
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,Timber,2185,554,1407,351,1839,0.8416475972540046,0.8447653429602888,0.773679413904922,0.18317025440313112
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,1,5,At-Grade,830,208,490,123,493,0.5939759036144578,0.5961538461538461,0.4453197405004634,0.24899598393574296
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,2,5,At-Grade,830,208,491,122,494,0.5951807228915663,0.5913461538461539,0.4394898907738787,0.2477341389728097
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,3,5,At-Grade,830,208,489,124,493,0.5939759036144578,0.5961538461538461,0.4453197405004634,0.24899598393574296
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,4,5,At-Grade,831,207,492,121,494,0.5944645006016848,0.5942028985507246,0.4429512516469038,0.2484848484848485
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,5,At-Grade,831,207,490,123,494,0.5944645006016848,0.5942028985507246,0.4429512516469038,0.2484848484848485
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,short (<20m),2134,505,1395,349,684,0.32052483598875353,0.3485148514851485,0.18014277198644973,0.03976053315260364
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,short (<20m),2075,564,1395,349,681,0.32819277108433736,0.3173758865248227,0.15292135582218913,0.04015253476895469
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,short (<20m),2095,544,1395,349,696,0.3322195704057279,0.3014705882352941,0.13966434031239613,0.0421160760143811
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,short (<20m),2134,505,1395,349,702,0.3289597000937207,0.31287128712871287,0.14912115645953736,0.04766214177978884
length_bin,length_bin,data/processed/train/length_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,short (<20m),2118,521,1396,348,677,0.31964117091595845,0.3512476007677543,0.182608837899145,0.05198863636363636
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,standard (0.9-1.5m),2252,503,1387,347,1254,0.5568383658969804,0.5506958250497018,0.39113523984299337,0.10146520146520147
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,standard (0.9-1.5m),2148,607,1387,347,1206,0.5614525139664804,0.5354200988467874,0.37341530498971226,0.09963212752912323
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,standard (0.9-1.5m),2196,559,1387,347,1215,0.5532786885245902,0.5652951699463328,0.4083046256069512,0.14445714285714287
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,standard (0.9-1.5m),2226,529,1387,347,1210,0.5435759209344115,0.6068052930056711,0.4583164683642833,0.12588235294117647
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,standard (0.9-1.5m),2198,557,1388,346,1239,0.5636942675159236,0.5242369838420108,0.36060588758979306,0.09826686858488978
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,medium (1.2-5m),185,54,97,25,70,0.3783783783783784,0.25925925925925924,0.10675381263616558,0.06862745098039215
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,medium (1.2-5m),177,62,97,25,60,0.3389830508474576,0.3870967741935484,0.21605401350337583,0.09302325581395349
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,medium (1.2-5m),198,41,98,24,68,0.3434343434343434,0.3902439024390244,0.21908429610611893,0.0935672514619883
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,medium (1.2-5m),207,32,98,24,74,0.357487922705314,0.3125,0.1488095238095238,0.09523809523809523
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,medium (1.2-5m),189,50,98,24,64,0.3386243386243386,0.4,0.22857142857142854,0.11428571428571428
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,few (<10),45,7,23,6,21,0.4666666666666667,0.2857142857142857,0.12698412698412698,0.14814814814814814
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,few (<10),36,16,23,6,16,0.4444444444444444,0.4375,0.266304347826087,0.2028985507246377
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,few (<10),43,9,23,6,21,0.4883720930232558,0.2222222222222222,0.08080808080808081,0.18181818181818182
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,few (<10),39,13,23,6,16,0.41025641025641024,0.5384615384615384,0.37692307692307686,0.2333333333333333
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,few (<10),45,7,24,5,18,0.4,0.7142857142857143,0.5952380952380952,0.4166666666666667
